T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
57,Micronesia,2020,Percentage of individuals using the internet,40.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
57,Micronesia,2021,Percentage of individuals using the internet,40.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
4,Afghanistan,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
4,Afghanistan,2010,Percentage of individuals using the internet,4.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
4,Afghanistan,2015,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
4,Afghanistan,2019,Percentage of individuals using the internet,17.6,Estimate.;Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
4,Afghanistan,2020,Percentage of individuals using the internet,18.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2005,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2010,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2015,Percentage of individuals using the internet,56.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2019,Percentage of individuals using the internet,68.6,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2020,Percentage of individuals using the internet,72.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
8,Albania,2021,Percentage of individuals using the internet,79.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2000,Percentage of individuals using the internet,0.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2005,Percentage of individuals using the internet,5.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2010,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2015,Percentage of individuals using the internet,38.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2019,Percentage of individuals using the internet,59.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2020,Percentage of individuals using the internet,64.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
12,Algeria,2021,Percentage of individuals using the internet,70.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2000,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2005,Percentage of individuals using the internet,37.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2010,Percentage of individuals using the internet,81.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2015,Percentage of individuals using the internet,87.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2019,Percentage of individuals using the internet,90.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2020,Percentage of individuals using the internet,93.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
20,Andorra,2021,Percentage of individuals using the internet,93.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2005,Percentage of individuals using the internet,1.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2010,Percentage of individuals using the internet,2.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2015,Percentage of individuals using the internet,22.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2019,Percentage of individuals using the internet,32.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2020,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
24,Angola,2021,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
660,Anguilla,2000,Percentage of individuals using the internet,22.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
660,Anguilla,2005,Percentage of individuals using the internet,29.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
660,Anguilla,2010,Percentage of individuals using the internet,49.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
660,Anguilla,2015,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2019,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2020,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
28,Antigua and Barbuda,2021,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2000,Percentage of individuals using the internet,7.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2005,Percentage of individuals using the internet,17.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2010,Percentage of individuals using the internet,45.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2015,Percentage of individuals using the internet,68.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2019,Percentage of individuals using the internet,79.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2020,Percentage of individuals using the internet,85.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
32,Argentina,2021,Percentage of individuals using the internet,87.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2000,Percentage of individuals using the internet,1.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2005,Percentage of individuals using the internet,5.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2010,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2015,Percentage of individuals using the internet,59.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2019,Percentage of individuals using the internet,66.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2020,Percentage of individuals using the internet,76.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
51,Armenia,2021,Percentage of individuals using the internet,78.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
533,Aruba,2000,Percentage of individuals using the internet,15.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
533,Aruba,2005,Percentage of individuals using the internet,25.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
533,Aruba,2010,Percentage of individuals using the internet,62.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
533,Aruba,2015,Percentage of individuals using the internet,88.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
36,Australia,2000,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
36,Australia,2005,Percentage of individuals using the internet,63.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
36,Australia,2010,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
36,Australia,2015,Percentage of individuals using the internet,84.6,Population aged 15 years and over. Accessed the internet for personal use in a typical week.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023."
